f000001,18.840,21.640,"Three."
f000002,21.640,58.720,"Gregor's serious wound, from which he suffered for over a month—since no one ventured to remove the apple, it remained in his flesh as a visible reminder—seemed by itself to have reminded the father that, in spite of his present unhappy and hateful appearance, Gregor was a member of the family, something one should not treat as an enemy, and that it was, on the contrary, a requirement of family duty to suppress one's aversion and to endurenothing else, just endure."
f000003,58.720,118.760,"And if through his wound Gregor had now apparently lost for good his ability to move and for the time being needed many, many minutes to crawl across his room, like an aged invalid—so far as creeping up high was concerned, that was unimaginable—nevertheless for this worsening of his condition, in his opinion, he did get completely satisfactory compensation, because every day towards evening the door to the living room, which he was in the habit of keeping a sharp eye on even one or two hours beforehand, was opened, so that he, lying down in the darkness of his room, invisible from the living room, could see the entire family at the illuminated table and listen to their conversation, to a certain extent with their common permission, a situation quite different from what had happened before."
f000004,118.760,135.520,"Of course, it was no longer the animated social interaction of former times, which Gregor in small hotel rooms had always thought about with a certain longing, when, tired out, he had had to throw himself into the damp bedclothes."
f000005,135.520,139.880,"For the most part what went on now was very quiet."
f000006,139.880,145.040,"After the evening meal, the father fell asleep quickly in his arm chair."
f000007,145.040,150.560,"The mother and sister talked guardedly to each other in the stillness."
f000008,150.560,156.600,"Bent far over, the mother sewed fine undergarments for a fashion shop."
f000009,156.600,168.320,"The sister, who had taken on a job as a salesgirl, in the evening studied stenography and French, so as perhaps later to obtain a better position."
f000010,168.320,186.480,"Sometimes the father woke up and, as if he was quite ignorant that he had been asleep, said to the mother How long you have been sewing today? and went right back to sleep, while the mother and the sister smiled tiredly to each other."
f000011,186.480,209.560,"With a sort of stubbornness the father refused to take off his servant's uniform even at home, and while his sleeping gown hung unused on the coat hook, the father dozed completely dressed in his place, as if he was always ready for his responsibility and even here was waiting for the voice of his superior."
f000012,209.560,237.800,"As a result, in spite of all the care of the mother and sister, his uniform, which even at the start was not new, grew dirty, and Gregor looked, often for the entire evening, at this clothing, with stains all over it and with its gold buttons always polished, in which the old man, although very uncomfortable, slept peacefully nonetheless."
f000013,237.800,256.800,"As soon as the clock struck ten, the mother tried gently encouraging the father to wake up and then persuading him to go to bed, on the ground that he couldn't get a proper sleep here and that the father, who had to report for service at six o'clock, really needed a good sleep."
f000014,256.800,275.560,"But in his stubbornness, which had gripped him since he had become a servant, he insisted always on staying even longer by the table, although he regularly fell asleep and then could only be prevailed upon with the greatest difficulty to trade his chair for the bed."
f000015,275.560,290.160,"No matter how much the mother and sister might at that point work on him with small admonitions, for a quarter of an hour he would remain shaking his head slowly, his eyes closed, without standing up."
f000016,290.160,302.720,"The mother would pull him by the sleeve and speak flattering words into his ear; the sister would leave her work to help her mother, but that would not have the desired effect on the father."
f000017,302.720,307.120,"He would settle himself even more deeply in his arm chair."
f000018,307.120,318.920,"Only when the two women grabbed him under the armpits would he throw his eyes open, look back and forth at the mother and sister, and habitually say This is a life."
f000019,318.920,323.600,"This is the peace and quiet of my old age."
f000020,323.600,349.200,"And propped up by both women, he would heave himself up elaborately, as if for him it was the greatest trouble, allow himself to be led to the door by the women, wave them away there, and proceed on his own from there, while the mother quickly threw down her sewing implements and the sister her pen in order to run after the father and help him some more."
f000021,349.200,359.280,"In this overworked and exhausted family who had time to worry any longer about Gregor more than was absolutely necessary?"
f000022,359.280,362.520,"The household was constantly getting smaller."
f000023,362.520,365.480,"The servant girl was now let go."
f000024,365.480,374.680,"A huge bony cleaning woman with white hair flying all over her head came in the morning and evening to do the heaviest work."
f000025,374.680,380.360,"The mother took care of everything else in addition to her considerable sewing work."
f000026,380.360,398.280,"It even happened that various pieces of family jewellery, which previously the mother and sister had been overjoyed to wear on social and festive occasions, were sold, as Gregor found out in the evening from the general discussion of the prices they had fetched."
f000027,398.280,411.320,"But the greatest complaint was always that they could not leave this apartment, which was too big for their present means, since it was impossible to imagine how Gregor might be moved."
f000028,411.320,424.440,"But Gregor fully recognized that it was not just consideration for him which was preventing a move, for he could have been transported easily in a suitable box with a few air holes."
f000029,424.440,442.640,"The main thing holding the family back from a change in living quarters was far more their complete hopelessness and the idea that they had been struck by a misfortune like no one else in their entire circle of relatives and acquaintances."
f000030,442.640,449.720,"What the world demands of poor people they now carried out to an extreme degree."
f000031,449.720,468.000,"The father bought breakfast to the petty officials at the bank, the mother sacrificed herself for the undergarments of strangers, the sister behind her desk was at the beck and call of customers, but the family's energies did not extend any further."
f000032,468.000,505.080,"And the wound in his back began to pain Gregor all over again, when now mother and sister, after they had escorted the father to bed, came back, let their work lie, moved close together, and sat cheek to cheek and when his mother would now say, pointing to Gregor's room, Close the door, Grete, and when Gregor was again in the darkness, while close by the women mingled their tears or, quite dry eyed, stared at the table."
f000033,505.080,509.880,"Gregor spent his nights and days with hardly any sleep."
f000034,509.880,517.320,"Sometimes he thought that the next time the door opened he would take over the family arrangements just as he had earlier."
f000035,517.320,560.280,"In his imagination appeared again, after a long time, his employer and supervisor and the apprentices, the excessively spineless custodian, two or three friends from other businesses, a chambermaid from a hotel in the provinces, a loving fleeting memory, a female cashier from a hat shop, whom he had seriously but too slowly courtedthey all appeared mixed in with strangers or people he had already forgotten, but instead of helping him and his family, they were all unapproachable, and he was happy to see them disappear."
f000036,560.280,564.240,"But then he was in no mood to worry about his family."
f000037,564.240,574.520,"He was filled with sheer anger over the wretched care he was getting, even though he couldn't imagine anything which he might have an appetite for."
f000038,574.520,583.720,"Still, he made plans about how he could take from the larder what he at all account deserved, even if he wasn't hungry."
